NO;HHNO;ORIGINALPERSONID
354791;136638;428
355107;1367496;788
355205;1367949;7129
355646;1369485;5252
355879;137038;1350
355883;137038;4784
355911;137052;298
355912;137052;3283
355956;137071;271
356025;137098;1361
356045;137102;4970
356116;137120;4456
356162;137139;5718
356281;1371843;864
356352;137216;4648
356642;1373226;4523
356653;137326;4297
356845;137398;2956
356863;137402;93
356882;137410;2882
356928;1374251;5336
357006;1374508;5249
357261;1375454;376
357327;1375747;5289
357491;137636;2185
357523;137646;1215
357533;1376462;3190
357616;1376804;6859
357699;1377116;7692
357702;137714;5917
357703;137714;7271
357957;137814;3829
358019;137836;6587
358128;1378710;4376
358243;137916;4483
358443;1379855;215
359057;138218;5489
359178;138265;4020
359465;138372;1387
359704;1384738;1075
359832;1385209;1570
359852;138527;6802
359925;138547;2758
360009;1385728;1035
360112;138617;6168
360149;1386288;4782
360592;1387823;6747
360651;138804;548
360701;1388197;479
361022;138947;5534
361293;139057;3513
361447;139121;1940
361552;139160;6900
361780;139245;4288
361783;1392455;7675
361790;1392475;4793
361884;139280;564
361892;139280;4809
362084;139360;1402
362129;1393725;7801
362215;139404;7374
363744;139993;5210
363904;140052;4119
364166;140141;3946
364259;140176;5184
364966;1404627;1121
365004;140475;5707
365151;1405355;7419
366001;140874;258
366233;1409553;6809
366407;1410130;597
366419;1410172;4435
367577;1414719;4685
368350;1417893;2742
368432;1418246;5391
368459;1418311;1753
368902;1420022;467
369109;1420939;117
369113;1420939;3936
369211;1421330;5193
369515;1422413;1116
369592;1422668;1940
370111;1424738;7251
370121;1424738;6021
370163;1424905;1118
371076;1428575;209
371104;1428663;4085
371830;1431301;2013
371870;1431481;4070
372363;1433202;1637
372378;1433255;8105
373214;1436400;1578
373393;1437070;2
373396;1437070;3632
374227;1440446;7028
374354;1440919;4962
374519;1441653;5362
375818;1446853;6656
376337;144891;5809
376363;1448997;5235
376370;1448997;4228
376656;1450151;1541
377752;1454592;4640
377858;1454973;1298
377919;1455259;1778
378876;1458805;3843
378892;1458868;3547
379840;1462410;2473
379843;1462410;2269
380122;1463635;2808
380332;1464417;4954
381337;1468153;2024
381657;1469273;6646
382494;1472587;2977
382508;1472690;1293
382823;1474054;5725
383346;1476249;395
383435;1476657;3959
384133;1479257;3527
384165;1479339;6146
385261;1483338;2485
385728;1485094;3465
386198;1486822;7391
386613;1488477;3550
386745;1489037;3644
387133;149055;7858
387856;1493419;3587
388277;1495051;5092
388293;1495093;3556
388337;1495240;6635
388558;1496020;4332
389572;1500004;7365
389707;1500555;1918
390557;1503788;2283
390611;150409;2763
390920;1505223;7782
391810;1508853;8143
391957;1509535;5822
393054;151361;7713
393645;1515870;8028
405069;1559734;4010
406260;1564244;3738
412077;158636;6765
412085;158636;247
414907;1597168;4311
416693;1603909;4763
416852;1604565;3163
417077;1605501;1537
417362;1606612;7310
419119;1613348;2671
419362;1614248;7071
419431;1614494;4629
420429;1618615;2342
420541;1619034;87
420570;1619143;2624
420801;1620005;44
421094;1621171;1273
421211;1621682;2165
422206;1625405;5081
422357;1626036;4472
422825;162788;2401
423574;1630718;4034
424136;1632695;6595
425375;1637349;29
426295;1640861;6647
426322;1640924;3507
426605;1642032;7020
427577;1645760;4834
428656;1649800;8101
429342;1652408;6039
429415;1652670;998
429661;1653748;2846
429665;1653748;8114
430568;1657348;755
430863;1658507;13
431505;1660898;8112
431905;1662317;4534
432653;1665509;2440
432961;1666856;2112
432992;1666932;6903
433022;1667092;4014
433269;166809;2253
433274;166809;2937
2538846;1000491;6444
2538853;1000491;4252
2538883;1000491;4426
2541349;1001532;4127
2543393;1002351;4110
2543396;1002351;5571
2545473;1003200;5552
2546650;1003657;1151
2546714;1003685;2460
2546730;1003685;3689
2546736;1003695;2636
2546800;1003695;2504
2546886;1003750;5590
2546907;1003750;2486
2547035;1003808;4828
2547056;1003816;7741
2547061;1003816;8048
2547074;1003816;1966
2547086;1003816;6567
2547114;1003816;3411
2547203;1003868;7372
2547224;1003868;3835
2547247;1003868;4864
2547254;1003889;1469
2547326;1003918;274
2547414;1003947;2720
2547459;1003947;2232
2547596;1004020;7984
2547629;1004032;854
2547641;1004036;8207
2547645;1004038;2797
2547733;1004071;3465
2547742;1004075;6850
2547749;1004079;2505
2547752;1004080;1808
2547766;1004080;7220
2547966;1004163;4497
2547971;1004166;8272
2548088;1004211;3848
2548102;1004211;3999
2548137;1004211;3246
2548190;1004256;7337
2548256;1004285;6831
2548259;1004285;4173
2548383;1004330;7511
2548419;1004344;1100
2548454;1004359;7897
2548561;1004405;421
2548592;1004422;1700
2548670;1004450;2698
2548721;1004450;4179
2548755;1004450;3730
2548781;1004493;1253
2548840;1004519;4277
2548944;1004563;3992
2548978;1004563;3601
2549022;1004593;7009
2549069;1004593;5974
2549076;1004615;1151
2549117;1004631;2188
2549129;1004635;5250
2549224;1004676;1414
2549227;1004677;116
2549274;1004696;2583
2549291;1004702;3199
2549321;1004712;6632
2549363;1004729;7861
2549400;1004744;7062
2549426;1004759;8246
2549440;1004764;454
2549501;1004790;6953
2549538;1004804;5672
2549590;1004804;867
2549623;1004842;7376
2549626;1004842;5542
2549646;1004851;4150
2549656;1004851;3655
2549830;1004925;1338
2549849;1004925;3843
2549910;1004953;239
2550033;1004953;2231
2550062;1005008;5345
2550078;1005017;3738
2550088;1005021;622
2550094;1005023;4483
2550114;1005023;3103
2550161;1005047;1200
2550281;1005105;7108
2550285;1005105;3704
2550295;1005110;2893
2550306;1005118;4051
2550399;1005155;5522
2550450;1005155;3340
2550462;1005180;3152
2550484;1005189;5085
2550499;1005189;4777
2550547;1005189;3164
2550555;1005189;7579
2550588;1005229;6370
2550636;1005248;6363
2550752;1005301;8205
2550760;1005304;879
2550798;1005304;6027
2550918;1005366;2130
2550922;1005368;3462
2550926;1005368;8248
2551058;1005368;2109
2551144;1005458;1122
2551146;1005458;526
2551170;1005467;2818
2551254;1005496;8045
2551259;1005496;6014
2551322;1005522;7872
2551383;1005549;2348
2551440;1005574;4949
2551458;1005584;1601
2551567;1005584;6335
2551577;1005635;1979
2551627;1005656;1456
2551731;1005698;1881
2551763;1005698;753
2551800;1005698;1666
2551857;1005698;6496
2551878;1005698;823
2551905;1005774;4114
2552009;1005816;3648
2552010;1005816;2472
2552044;1005831;3027
2552050;1005834;1536
2552079;1005834;7892
2552141;1005834;372
2552148;1005878;7091
2552186;1005878;1772
2552218;1005909;6695
2552270;1005929;5831
2552277;1005934;3752
2552311;1005946;4948
2552316;1005946;2916
2552343;1005961;3280
2552356;1005964;2789
2552384;1005974;6411
2552389;1005977;428
2552442;1005992;7160
2552504;1005992;4304
2552576;1006053;6919
2552621;1006074;6131
2552622;1006074;1787
2552628;1006075;31
2552927;1006196;685
2553009;1006228;2082
2553041;1006239;967
2553074;1006239;7061
2553180;1006289;5685
2553265;1006289;6060
2553277;1006330;6660
2553316;1006330;8003
2553346;1006356;431
2553391;1006377;2616
2553440;1006398;2743
2553460;1006407;6651
2553520;1006427;2186
2553527;1006427;2228
2553676;1006484;4464
2553908;1006583;1569
2553916;1006583;7534
2553968;1006606;133
2553977;1006608;2472
2554048;1006629;6397
2554065;1006629;5606
2554179;1006690;1764
2561758;1009756;4144
2561845;1009787;2455
2566036;1011508;7781
2566056;1011508;8036
2569288;1012869;1175
2569339;1012889;6498
2569386;1012907;3448
2569388;1012907;1739
2569490;1012952;2903
2569591;1012996;1307
2569645;1013021;1234
2569807;1013083;612
2569882;1013114;6894
2569927;1013132;7700
2569937;1013136;4729
2569945;1013136;7664
2569969;1013146;8207
2570057;1013184;741
2570061;1013184;5946
2570075;1013184;4352
2570127;1013216;4591
2570144;1013216;6519
2570190;1013241;1989
2570196;1013241;6406
2570270;1013283;6704
2570296;1013283;6990
2570374;1013283;6115
2570383;1013283;7502
2570400;1013283;1361
2570411;1013283;5923
2570612;1013422;4438
2570649;1013434;1996
2570724;1013463;7931
2570780;1013463;289
2570904;1013535;481
2571008;1013572;3827
2571032;1013578;3440
2571056;1013578;1588
2571065;1013592;5520
2571107;1013608;4071
2571159;1013632;2745
2571167;1013635;1205
2571231;1013665;3832
2571241;1013665;6996
2571244;1013665;5554
2571279;1013683;4261
2571354;1013716;494
2571363;1013720;6503
2572976;1014374;1762
2573290;1014500;4770
2573586;1014635;7486
2573613;1014635;501
2573614;1014635;5863
2573729;1014693;8107
2576751;1015943;3691
2579501;1017052;1669
2582796;1018389;5107
2582938;1018443;1938
2583624;1018727;231
2583684;1018727;4761
2583767;1018796;1288
2585717;1019562;4970
2585801;1019607;7530
2585830;1019618;5035
2585868;1019633;4262
2585870;1019633;5806
2586124;1019748;8104
2586150;1019748;3592
2586207;1019784;486
2586248;1019800;7792
2586256;1019802;1273
2586273;1019812;2146
2586484;1019812;2045
2586537;1019910;2134
2586561;1019917;7060
2586602;1019938;7217
2586611;1019940;1899
2586623;1019945;4612
2586628;1019945;2949
2586699;1019975;4658
2586708;1019978;4717
2586729;1019978;1616
2586786;1020009;156
2586801;1020009;5405
2586934;1020074;6116
2586945;1020074;2608
2587013;1020074;1984
2587028;1020074;6336
2587033;1020074;6742
2587095;1020074;3171
2587148;1020164;6994
2587230;1020194;6007
2587262;1020207;2641
2587311;1020207;6494
2587348;1020207;3602
2587363;1020247;3708
2587575;1020331;2594
2587639;1020358;4434
2587701;1020358;6633
2587702;1020358;6137
2587733;1020358;4189
2587743;1020394;3983
2587766;1020404;2319
2587802;1020404;6226
2587809;1020419;480
2587937;1020419;4026
2588008;1020500;1187
2588106;1020540;4816
2588155;1020557;7430
2588173;1020562;4355
2588319;1020614;824
2588339;1020614;4852
2588395;1020650;5652
2588426;1020663;6848
2588447;1020671;578
2588501;1020699;4995
2588524;1020699;5634
2588525;1020710;8192
2588619;1020757;1336
2588663;1020779;4810
2588720;1020779;1782
2588727;1020808;5934
2588779;1020828;3113
2588799;1020828;7225
2588832;1020846;6952
2588863;1020857;2976
2588896;1020857;3628
2588903;1020874;5598
2588913;1020874;7019
2588993;1020918;211
2589005;1020921;6165
2589015;1020925;7455
2589019;1020925;2204
2589039;1020936;4764
2589057;1020942;8161
2589068;1020946;5136
2589102;1020962;532
2589249;1021017;403
2589286;1021030;4358
2589316;1021030;4052
2589322;1021041;891
2589373;1021041;958
2589409;1021076;7996
2589415;1021076;4225
2589417;1021076;3121
2589501;1021120;1890
2589600;1021120;6643
2589610;1021120;4209
2589769;1021233;3400
2589945;1021296;2158
2589946;1021296;2377
2590036;1021331;6307
2590069;1021345;759
2590189;1021345;2638
2590210;1021406;5047
2590249;1021406;7937
2590307;1021447;435
2590331;1021457;7381
2590338;1021457;5032
2590399;1021457;1904
2590448;1021503;1710
2590464;1021503;4541
2590550;1021539;3897
2590590;1021555;4297
2590716;1021605;8066
2590733;1021605;3624
2590851;1021656;7482
2590874;1021666;3042
2590922;1021689;6642
2590923;1021689;3215
2591135;1021772;7110
2591142;1021775;7289
2591159;1021782;3034
2591268;1021828;2171
2591274;1021828;549
2591323;1021844;6732
2591326;1021845;6857
2591360;1021845;109
2591449;1021845;5135
2591475;1021910;5704
2591477;1021910;6314
2591548;1021938;5831
2591588;1021938;3503
2591626;1021938;1527
2591682;1021938;3927
2591705;1022002;1019
2591752;1022024;1732
2591761;1022024;3182
2591805;1022045;2307
2591891;1022045;4860
2591911;1022090;3321
2591924;1022090;5285
2591928;1022095;1026
2591993;1022095;6256
2592168;1022186;1884
2592198;1022201;7715
2592269;1022228;5318
2592284;1022234;6108
2592350;1022262;3579
2592355;1022265;5126
2592365;1022265;2620
2592384;1022275;8124
2592408;1022284;529
2592487;1022316;7542
2592607;1022367;5398
2592637;1022381;2339
2592644;1022387;4068
2592697;1022387;7288
2592742;1022426;271
2592863;1022426;6103
2592906;102248;8198
2592949;1022503;7330
2593003;1022521;2019
2593015;1022527;3104
2593022;1022529;3669
2593063;1022529;3922
2593079;1022529;5058
2593093;1022529;2588
2593097;1022563;6722
2593123;1022571;5717
2593138;1022571;7774
2593199;1022571;3782
2593213;1022601;3559
2593217;1022602;6086
2593225;1022606;7333
2593238;1022606;6642
2593284;1022606;4247
2593290;1022606;1410
2593292;1022635;4461
2593301;1022639;1497
2593333;1022656;690
2593359;1022664;2422
2593428;1022689;2267
2593457;1022701;7915
2593460;1022703;2339
2593464;1022703;2082
2593465;1022704;104
2593573;1022744;7526
2593607;1022744;2062
2593619;1022744;7093
2593651;1022744;2108
2593740;1022811;4454
2593765;1022811;5945
2593811;1022840;4381
2593842;1022840;8194
2593867;1022862;6028
2593923;1022862;4826
2593977;1022904;718
2593999;1022913;5183
2594007;1022913;2598
2594017;1022925;4493
2594030;1022925;3213
2594034;1022925;7356
2594039;1022936;1079
2594060;1022944;5152
2594346;1023070;4592
2594352;1023072;7726
2594415;1023072;839
2594501;1023136;339
2594512;1023142;3074
2594534;1023150;8075
2594586;1023171;453
2594652;1023171;2503
2594665;1023202;2084
2594674;1023202;1358
2594705;1023202;2883
2594716;1023220;7874
2594747;1023236;3827
2594776;1023245;6979
2594918;1023302;8146
2595145;1023396;7784
2595192;1023415;4459
2595241;1023439;1050
2595260;1023439;7601
2595309;1023462;1249
2595310;1023462;7428
2595329;1023470;8104
2595332;1023470;7928
2595350;1023477;6752
2595509;1023532;7730
2595546;1023548;1509
2595555;1023552;2468
2595558;1023552;2061
2595570;1023561;424
2595589;1023568;4569
2595641;1023568;6381
2595706;1023614;326
2595773;1023640;3439
2595775;1023641;4816
2595797;1023650;2577
2596051;1023755;1599
2596066;1023755;1529
2596085;1023768;4032
2596094;1023770;1828
2596095;1023770;957
2596108;1023770;5796
2596138;1023770;835
2596165;1023770;4424
2596204;1023828;3893
2596246;1023843;656
2596257;1023843;5174
2596381;1023843;5924
2596393;1023898;1513
2596395;1023899;2288
2596512;1023948;4050
2596532;1023948;5207
2596560;1023948;5714
2596685;1023948;560
2596716;1024041;6332
2596851;1024097;5319
2596922;1024126;6373
2596933;1024130;3029
2597106;1024195;4791
2597137;1024195;1906
2597167;1024220;3246
2597183;1024220;7537
2597266;1024265;1701
2597276;1024271;3526
2597284;1024273;667
2597354;1024298;6543
2597366;1024302;6126
2597368;1024302;1154
2597379;1024302;1664
2597404;1024302;6449
2598176;1024622;6468
2598182;1024622;1441
2598207;1024622;2551
2599728;1025260;604
2599778;1025260;4040
2599811;1025260;2778
2600951;1025781;7738
2601223;1025892;3203
2601800;1026124;4029
2601845;1026124;8142
2601945;1026124;4767
2606136;1027909;2848
2606183;1027931;3997
2610225;1029605;754
2612442;1030528;4817
2612610;1030528;7332
2614655;1031432;7312
2614656;1031432;893
2614665;1031432;3983
2619059;1033201;4265
2619083;1033211;1547
2619191;1033247;6458
2619261;1033274;327
2619262;1033274;2942
2619283;1033280;2760
2619470;1033351;4266
2619506;1033366;613
2619509;1033367;2836
2621616;1034260;2551
2621656;1034260;1448
2625798;1035974;5905
2625807;1035974;73
2625831;1035974;2226
2628257;1036967;4440
2635931;1040128;5516
2636243;1040250;2405
2636289;1040267;169
2636301;1040272;7918
2636314;1040279;5121
2636315;1040279;4007
2636321;1040281;5819
2636400;1040312;5655
2636401;1040312;483
2636453;1040312;2961
2637198;1040631;3349
2637264;1040662;434
2637330;1040683;1180
2637333;1040683;6301
2637375;1040696;4018
2637378;1040696;3155
2637437;1040717;6275
2637453;1040717;372
2637484;1040717;3393
2637512;1040717;5017
2638181;1041004;8137
2638183;1041004;5643
2644434;1043563;4426
2644473;1043563;5081
2644491;1043563;4102
2644495;1043563;7120
2645078;1043822;5195
2645414;1043957;1721
2645458;1043957;6066
2645462;1043957;2565
2645583;1044024;4168
2645759;1044088;256
2645767;1044088;7720
2645846;1044088;3371
2649390;1045596;5326
2649400;1045596;5340
2653890;1047406;4728
2653919;1047406;5988
2654643;1047721;6235
2654682;1047721;1659
2654703;1047721;4444
2656848;1048623;1746
2659494;104971;3695
2660082;1049946;4463
2667307;1052947;2221
2668753;1053541;167
2668793;1053541;7334
2670803;1054385;4863
2671469;1054679;2748
2671472;1054679;754
2671841;1054826;7219
2672524;1055110;4532
2674951;1056100;1166
2674976;1056100;5870
2675269;1056236;6246
2678011;1057356;1218
2678335;1057491;2078
2684290;1059998;5933
2685744;1060601;6432
2685765;1060601;2180
2685781;1060601;7300
2688003;1061531;5962
2691345;1062865;6735
2691408;1062865;6297
2693999;1063961;4556
2694463;1064149;482
2694691;1064240;2252
2694734;1064258;3839
2695128;1064415;1224
2695705;1064639;4507
2699481;1066207;4012
2699493;1066213;6526
2699495;1066213;4360
2699633;1066270;4812
2699637;1066270;4598
2700165;1066490;6652
2701432;1066986;243
2701467;1066986;6864
2701536;1066986;3118
2703559;1067878;5707
2708616;1069920;4421
2709673;1070358;7189
2712649;1071594;1008
2712652;1071594;2976
2719149;1074251;4632
2719204;1074251;6501
2719268;1074251;3619
2719378;1074342;7874
2720474;1074787;4336
2721611;1075245;5423
2730040;1078663;5869
2733028;1079886;2119
2739881;1082705;2512
2739886;1082705;8269
2743123;1084059;3440
2743144;1084059;2823
2747318;1085754;2221
2749556;1086702;3318
2749561;1086702;5919
2751162;1087374;7594
2752228;1087806;6011
2754407;1088743;8219
2756815;1089776;236
2761363;1091616;7154
2761649;1091730;2726
2771519;1095799;7114
2771605;1095827;7973
2772398;1096152;4030
2775007;1097207;7003
2775027;1097220;4487
2775112;1097262;1265
2775130;1097271;7190
2775142;1097275;7230
2775220;1097305;5954
2775287;1097333;4170
2775429;1097389;1983
2775450;1097389;1666
2775470;1097389;5095
2775483;1097408;1895
2775492;1097408;74
2775570;1097440;4404
2775652;1097469;5514
2775690;1097488;5773
2775780;1097517;6926
2775851;1097541;6841
2775856;1097543;1884
2775937;1097577;2167
2775957;1097586;873
2775998;1097602;5147
2776084;1097636;2148
2776196;1097680;1645
2776235;1097680;7992
2776270;1097680;4023
2776341;1097738;6157
2776342;1097738;7041
2776351;1097738;4893
2776376;1097738;4104
2776396;1097738;4959
2776422;1097738;6190
2776505;1097738;575
2776591;1097838;1305
2776612;1097838;5297
2776638;1097854;461
2776687;1097875;2819
2776732;1097892;7570
2776746;1097902;5270
2776834;1097933;4215
2776899;1097933;2561
2777144;1098053;882
2777160;1098061;4918
2777205;1098061;456
2777259;1098061;2972
2777283;1098061;3122
2777521;1098218;7478
2777584;1098240;3935
2777593;1098240;521
2777609;1098240;1487
2777611;1098250;4414
2777613;1098251;1524
2777703;1098283;5198
2777710;1098283;8033
2777726;1098295;1976
2777893;1098359;3070
2777968;1098391;5031
2777985;1098391;7586
2778075;1098391;1665
2778212;1098493;6234
2778238;1098502;1894
2778266;1098517;944
2778314;1098537;8096
2778331;1098537;2451
2778365;1098554;4799
2778688;1098686;2902
2778733;1098686;6476
2778747;1098713;8237
2778763;1098719;7781
2778805;1098737;4951
2778951;1098794;5961
2778965;1098800;7219
2778992;1098809;5162
2778995;1098809;3341
2779088;1098851;3234
2779092;1098852;6769
2779133;1098871;2356
2779164;1098885;430
2779179;1098892;189
2779194;1098898;2036
2779232;1098898;3194
2779243;1098898;4595
2779377;1098984;5379
2779398;1098992;999
2779666;1099111;6748
2779881;1099201;4100
2779913;1099213;6977
2779941;1099213;5309
2779959;1099213;7056
2779961;1099213;2055
2779968;1099233;7312
2779974;1099233;1178
2779985;1099238;5232
2780042;1099238;5341
2780052;1099262;5121
2780184;1099319;5290
2780253;1099319;371
2780393;1099398;6913
2780403;1099403;4293
2780433;1099413;6079
2780493;1099438;1108
2780506;1099438;6378
2780540;1099455;30
2780579;1099467;7338
2780661;1099499;5955
2780687;1099511;5068
2780735;1099511;373
2780741;1099511;4857
2780742;1099532;820
2780846;1099580;7795
2780882;1099598;7263
2780948;1099622;3391
2781078;1099674;5176
2781231;1099739;4855
2781258;1099754;2011
2781269;1099761;1928
2781286;1099761;1393
