NO;LOCATIONNO;ORIGINALHHID
133842;127111;1916
133863;127140;4423
134257;127211;233
134416;127235;2920
134450;127239;2941
134465;127260;2455
134527;127264;4715
134542;127278;1302
134851;127325;3302
134886;127385;2708
135039;127387;2137
135162;127466;3827
135235;127500;4262
135321;127507;2316
135331;127535;111
135402;127548;1669
135403;127573;419
135882;127584;436
135920;127606;5067
136012;127632;2224
136524;127634;2467
136565;127707;554
136638;127710;2918
137038;127779;2314
137052;127792;4089
137071;127807;4874
137098;127855;1007
137102;127858;1666
137120;127886;3584
137139;127936;3887
137216;127979;3956
137326;128069;530
137398;128107;4467
137402;128213;1560
137410;128265;3466
137636;128285;2151
137646;128295;2066
137714;128321;711
137814;128326;4248
137836;128331;1957
137916;128378;4224
138218;128458;3833
138265;128480;4307
138372;128489;3579
138527;128519;4628
138547;128539;800
138617;128540;2021
138804;128544;4204
138947;128592;4687
139057;128604;432
139121;128617;599
139160;128627;2794
139245;128727;4596
139280;128746;5098
139360;128751;1810
139404;128770;2549
139993;128890;4177
140052;128891;219
140141;128897;814
140176;128912;3004
140475;128966;3582
140874;129041;3583
144891;129687;3352
149055;130853;3144
150409;131191;4601
151361;131384;5180
158636;132261;3335
162788;133147;888
166809;133804;5055
1000491;134490;3818
1001532;135765;3052
1002351;136322;2351
1003200;137222;373
1003657;137626;3407
1003685;137646;1561
1003695;137663;2148
1003750;137687;2149
1003808;137754;4551
1003816;137789;1344
1003868;137813;4489
1003889;137841;525
1003918;137843;1946
1003947;137854;1289
1004020;137869;4407
1004032;137883;4097
1004036;137885;4223
1004038;137889;544
1004071;137894;1276
1004075;137945;3640
1004079;137947;3584
1004080;137960;4298
1004163;137962;317
1004166;137971;2861
1004211;138001;128
1004256;138031;5160
1004285;138047;2393
1004330;138051;1110
1004344;138103;4316
1004359;138112;1063
1004405;138125;4375
1004422;138209;2396
1004450;138253;2975
1004493;138283;3446
1004519;138305;1623
1004563;138400;4140
1004593;138406;4650
1004615;138440;2626
1004631;138459;3858
1004635;138479;3681
1004676;138485;4956
1004677;138542;4936
1004696;138553;4287
1004702;138578;4343
1004712;138581;4220
1004729;138586;1568
1004744;138587;933
1004759;138588;2741
1004764;138608;839
1004790;138626;4186
1004804;138656;2312
1004842;138687;2870
1004851;138690;3750
1004925;138741;5071
1004953;138799;1954
1005008;138827;2455
1005017;138888;2596
1005021;138898;2319
1005023;139039;4092
1005047;139046;1884
1005105;139116;2493
1005110;139131;1150
1005118;139145;4294
1005155;139217;1263
1005180;139259;3000
1005189;139277;2942
1005229;139285;3369
1005248;139297;2542
1005301;139327;4868
1005304;139330;387
1005366;139426;1395
1005368;139429;731
1005458;139431;1157
1005467;139439;2042
1005496;139474;2306
1005522;139498;851
1005549;139520;2312
1005574;139590;3123
1005584;139596;3593
1005635;139672;4250
1005656;139700;4149
1005698;139722;2614
1005774;139759;5076
1005816;139760;2954
1005831;139795;3907
1005834;139809;3519
1005878;139874;4450
1005909;139886;1376
1005929;139902;937
1005934;139998;388
1005946;140014;4638
1005961;140036;5068
1005964;140046;4929
1005974;140056;3286
1005977;140083;1750
1005992;140089;1638
1006053;140096;240
1006074;140117;864
1006075;140184;1361
1006196;140199;2312
1006228;140205;2460
1006239;140212;1024
1006289;140234;811
1006330;140306;429
1006356;140324;4990
1006377;140405;2204
1006398;140666;1520
1006407;140677;4591
1006427;140723;2029
1006484;140796;203
1006583;140806;4916
1006606;140877;4343
1006608;140900;2998
1006629;140939;3590
1006690;140954;1415
1009756;144226;1500
1009787;144228;3078
1011508;145972;1158
1012869;147982;4382
1012889;148037;4126
1012907;148048;3233
1012952;148055;1376
1012996;148058;1975
1013021;148113;1457
1013083;148115;3172
1013114;148117;4991
1013132;148118;3212
1013136;148128;4602
1013146;148181;4637
1013184;148188;4866
1013216;148209;4362
1013241;148244;4881
1013283;148286;3052
1013422;148363;4649
1013434;148406;648
1013463;148478;2715
1013535;148485;4036
1013572;148504;865
1013578;148538;1931
1013592;148585;3959
1013608;148593;4808
1013632;148646;4518
1013635;148657;4635
1013665;148660;473
1013683;148675;1816
1013716;148717;3295
1013720;148735;542
1014374;149378;2370
1014500;149518;3490
1014635;149614;540
1014693;149700;2431
1015943;151018;4166
1017052;152359;1381
1018389;153710;3811
1018443;153743;3034
1018727;154332;3132
1018796;154381;2864
1019562;155406;525
1019607;155424;1514
1019618;155480;2645
1019633;155499;3986
1019748;155502;145
1019784;155523;3310
1019800;155575;1055
1019802;155624;1591
1019812;155654;5065
1019910;155665;48
1019917;155699;4021
1019938;155707;86
1019940;155739;4967
1019945;155819;594
1019975;155844;2729
1019978;155851;2857
1020009;155898;743
1020074;155904;1378
1020164;155949;73
1020194;156019;1234
1020207;156075;3917
1020247;156107;569
1020331;156109;3469
1020358;156139;4942
1020394;156184;791
1020404;156196;4480
1020419;156219;1598
1020500;156230;4589
1020540;156254;3753
1020557;156321;1555
1020562;156341;2867
1020614;156440;2158
1020650;156445;3465
1020663;156478;1767
1020671;156490;4444
1020699;156519;1035
1020710;156561;905
1020757;156579;2587
1020779;156621;4928
1020808;156679;2929
1020828;156695;829
1020846;156760;2740
1020857;156763;837
1020874;156765;4942
1020918;156768;4936
1020921;156848;5149
1020925;156855;2546
1020936;156898;2536
1020942;156910;5137
1020946;157046;2569
1020962;157095;854
1021017;157104;1583
1021030;157121;1886
1021041;157126;1462
1021076;157157;122
1021120;157173;1538
1021233;157193;2758
1021296;157201;3952
1021331;157227;1951
1021345;157228;4238
1021406;157301;507
1021447;157355;3575
1021457;157397;2995
1021503;157424;4395
1021539;157526;3830
1021555;157578;1852
1021605;157579;3238
1021656;157604;3090
1021666;157612;2212
1021689;157675;4737
1021772;157702;5015
1021775;157748;1685
1021782;157801;3168
1021828;157816;3324
1021844;157843;4447
1021845;157942;3118
1021910;157994;1610
1021938;158061;2426
1022002;158078;3394
1022024;158087;4448
1022045;158093;219
1022090;158152;2733
1022095;158208;2338
1022186;158238;1484
1022201;158254;4480
1022228;158279;4643
1022234;158295;4624
1022262;158308;4129
1022265;158376;302
1022275;158443;3869
1022284;158473;477
1022316;158518;3362
1022367;158584;4019
1022381;158587;3706
1022387;158605;3094
1022426;158693;2681
1022503;158696;1436
1022521;158721;127
1022527;158727;1575
1022529;158747;1423
1022563;158759;3717
1022571;158841;1282
1022601;158851;2969
1022602;158854;2863
1022606;158863;261
1022635;158877;3776
1022639;158886;2432
1022656;158904;2381
1022664;158982;3156
1022689;158984;2861
1022701;159004;3068
1022703;159062;2905
1022704;159074;2640
1022744;159081;570
1022811;159125;1284
1022840;159192;404
1022862;159317;418
1022904;159325;884
1022913;159339;4303
1022925;159369;1974
1022936;159378;273
1022944;159379;4786
1023070;159381;4835
1023072;159386;3131
1023136;159420;2089
1023142;159421;2678
1023150;159437;4877
1023171;159477;4656
1023202;159532;3914
1023220;159556;133
1023236;159595;595
1023245;159600;3238
1023302;159638;5081
1023396;159688;4496
1023415;159715;3290
1023439;159740;1005
1023462;159751;4601
1023470;159758;2894
1023477;159812;5058
1023532;159819;322
1023548;159831;2618
1023552;159854;4381
1023561;159888;709
1023568;159913;1047
1023614;159916;3882
1023640;159942;348
1023641;159953;3441
1023650;159965;1291
1023755;159978;4537
1023768;159991;3378
1023770;159995;797
1023828;159998;2010
1023843;160004;4481
1023898;160046;933
1023899;160047;3253
1023948;160188;1186
1024041;160198;1351
1024097;160207;3514
1024126;160243;1205
1024130;160367;861
1024195;160449;1233
1024220;160470;4956
1024265;160495;4463
1024271;160514;2922
1024273;160553;713
1024298;160585;2174
1024302;160758;1794
1024622;160978;3296
1025260;161386;574
1025781;161898;2392
1025892;161982;461
1026124;162089;1568
1027909;163810;3479
1027931;163970;4092
1029605;165727;4747
1030528;166518;4440
1031432;167400;3718
1033201;169602;4230
1033211;169663;2566
1033247;169688;1688
1033274;169708;4144
1033280;169715;1996
1033351;169776;1476
1033366;169798;910
1033367;169841;3917
1034260;170715;4007
1035974;173076;584
1036967;174197;2309
1040128;177624;1534
1040250;177670;4469
1040267;177683;3339
1040272;177703;2705
1040279;177707;1908
1040281;177710;930
1040312;177722;3693
1040631;177723;4725
1040662;177856;2334
1040683;177870;1007
1040696;177880;374
1040717;177892;3451
1041004;178121;4395
1043563;181502;1962
1043822;181772;1300
1043957;181910;248
1044024;181946;3579
1044088;181967;510
1045596;183569;1977
1047406;185557;4750
1047721;185833;2384
1048623;187004;3049
1049946;188684;1175
1052947;191322;4083
1053541;191886;663
1054385;192896;2480
1054679;193358;1452
1054826;193522;4890
1055110;193871;2377
1056100;194456;1779
1056236;194808;730
1057356;195889;4037
1057491;196099;3730
1059998;198668;4206
1060601;199361;3765
1061531;199880;3792
1062865;201274;3715
1063961;202202;4296
1064149;202326;2343
1064240;202368;2062
1064258;202405;1011
1064415;202760;3739
1064639;202951;1919
1066207;204441;4973
1066213;204492;255
1066270;204520;3740
1066490;204655;3283
1066986;205202;3966
1067878;206343;164
1069920;208297;2940
1070358;208611;5054
1071594;209830;4560
1074251;212947;3922
1074342;213135;4155
1074787;213893;4676
1075245;214282;3183
1078663;217122;3075
1079886;218551;1113
1082705;221475;3857
1084059;222856;4946
1085754;224329;4763
1086702;225354;3773
1087374;226339;3406
1087806;226640;4731
1088743;227578;3283
1089776;228538;2804
1091616;230690;4917
1091730;230783;2084
1095799;234574;3758
1095827;234621;1380
1096152;235009;2982
1097207;236061;1782
1097220;236121;677
1097262;236144;2047
1097271;236145;4065
1097275;236157;4820
1097305;236160;1482
1097333;236194;261
1097389;236211;278
1097408;236248;4363
1097440;236253;1858
1097469;236341;3540
1097488;236358;3969
1097517;236453;3196
1097541;236649;5026
1097543;236705;1428
1097577;236742;29
1097586;236780;1359
1097602;236787;54
1097636;236799;2745
1097680;236807;4360
1097738;236846;4666
1097838;236877;3225
1097854;236921;1350
1097875;237020;76
1097892;237055;1376
1097902;237116;4287
1097933;237139;2801
1098053;237150;706
1098061;237159;471
1098218;237172;2978
1098240;237181;3243
1098250;237187;2308
1098251;237219;4907
1098283;237251;4072
1098295;237268;2591
1098359;237359;400
1098391;237390;5156
1098493;237393;4630
1098502;237396;1669
1098517;237400;1821
1098537;237519;871
1098554;237521;2447
1098686;237541;299
1098713;237546;2646
1098719;237580;4244
1098737;237586;509
1098794;237595;3076
1098800;237600;4532
1098809;237617;1683
1098851;237624;1229
1098852;237651;5174
1098871;237658;828
1098885;237699;4050
1098892;237716;484
1098898;237752;1071
1098984;237753;3787
1098992;237762;22
1099111;237767;274
1099201;237768;3563
1099213;237793;4012
1099233;237875;3939
1099238;237929;1047
1099262;237950;5185
1099319;237972;1792
1099398;237996;1951
1099403;238006;3384
1099413;238100;1031
1099438;238112;1179
1099455;238147;1667
1099467;238160;3777
1099499;238200;4540
1099511;238237;4009
1099532;238239;2730
1099580;238285;2296
1099598;238304;709
1099622;238378;4054
1099674;238404;2521
1099739;238469;93
1099754;238649;3869
1099761;238664;2076
1099795;238668;996
1099841;238729;4748
1099863;238743;1072
1099870;238775;2355
1099907;238848;4612
1099984;238860;4929
1099988;238898;3276
1100000;238981;636
1100014;238994;1886
1100085;239023;2987
1100093;239079;1879
1100094;239114;2147
1100106;239131;4252
1100118;239213;4877
1100143;239217;3119
1100147;239263;3461
1100165;239275;4372
1100240;239299;797
1100278;239347;3898
1100303;239354;2342
1100307;239385;1354
1100331;239417;702
1100347;239431;2476
1100348;239438;483
1100430;239459;3484
1100452;239462;1231
1100474;239491;1518
1100482;239508;3077
1100511;239516;3632
1100516;239568;2040
1100566;239572;3072
1100620;239581;2440
1100623;239723;3411
1100639;239748;3161
1100651;239767;4854
1100687;239769;5007
1100713;239770;3568
1100717;239827;4535
1100749;239909;693
1100792;239913;1887
1100800;239962;5141
1100809;239984;2284
1100907;240002;3042
1100915;240003;1223
1100917;240009;2630
1100945;240059;38
1101048;240080;443
1101066;240084;3180
1101081;240120;4011
1101096;240188;3805
1101263;240221;1691
1101275;240245;4288
1101307;240280;5105
1101451;240331;1055
1101472;240379;53
1101490;240380;3755
1101515;240393;5179
1101565;240397;1610
1101635;240412;761
1101651;240460;4458
1101680;240470;5040
1101764;240571;4738
1101780;240579;753
1101906;240586;1024
1101948;240659;2513
1101999;240665;1212
1102038;240752;3788
1102041;240758;638
1102044;240820;110
1102059;240859;4450
1102073;240871;2598
1102078;240883;3392
1102100;240886;3648
1102164;240922;5031
1102200;241088;2842
1102211;241117;2532
1102224;241140;2277
1102231;241187;2563
1102247;241208;3682
1102267;241218;2995
1102299;241319;3784
1102310;241324;4941
1102354;241374;2452
1102390;241397;3166
1102392;241429;3786
1102484;241506;1423
1102511;241532;3664
1102532;241553;3879
1102585;241575;1942
1102600;241586;1996
1102608;241593;4518
1102609;241683;1229
1102638;241696;3899
1102648;241753;442
1102692;241758;4708
1102723;241794;3514
1102763;241817;2557
1102788;241850;1799
1102833;241927;596
1102864;241943;3522
1102877;241969;2155
1102926;242051;1785
1102935;242060;3893
1102987;242063;5044
1103012;242064;2942
1103018;242084;2457
1103040;242085;179
1103084;242124;751
1103089;242139;4159
1103114;242176;1882
1103136;242207;4680
1103139;242214;4460
1103146;242226;2218
1103165;242264;3087
1103226;242278;3171
1103236;242282;2793
1103265;242284;2723
1103283;242324;4738
1103340;242340;265
1103394;242394;2041
1103449;242430;1658
1103614;242488;1115
1103639;242500;3592
1103657;242503;4539
1103703;242510;2945
1103851;242555;4186
1103855;242570;3629
1103860;242592;1980
1103899;242608;4603
1103926;242624;1869
1103930;242770;4947
1103948;242810;2154
1103961;242831;266
1103990;242864;1622
1103993;242869;4471
1104010;242923;1840
1104023;242947;315
1104039;243001;3921
1104073;243034;840
1104089;243071;1556
1104102;243076;2530
1104220;243119;3680
1104225;243127;1946
1104246;243134;1855
1104361;243159;3029
1104372;243296;2655
1104380;243318;254
1104445;243325;3573
1104469;243418;1130
1104573;243453;4552
1104620;243515;2795
1104652;243551;773
1104668;243576;4227
1104669;243582;1238
1104673;243588;1531
1104739;243638;1162
1104757;243647;3060
1104760;243655;4232
1104764;243695;2298
1104772;243752;5031
1104806;243774;4589
1104828;243844;2750
1104992;243874;1026
1104995;243878;61
1105042;243888;2431
1105070;243963;4309
1105102;244040;1539
1105116;244053;2453
1105125;244077;701
1105156;244097;771
1105165;244141;2028
1105192;244155;215
1105252;244160;773
1105259;244222;601
1105277;244235;2534
1105332;244251;5038
1105341;244294;2595
1105362;244372;2216
1105364;244391;2069
1105411;244403;2811
1105430;244431;1860
1105433;244452;3011
1105451;244620;2196
1105481;244634;1793
1105559;244680;3881
1105631;244742;2061
1105633;244750;2691
1105662;244792;4455
1105676;244793;3367
1105794;244794;3409
1107450;246405;3950
1108774;247583;2732
1110883;250467;1844
1111057;250879;540
1112154;252376;1190
1113300;253426;2669
1113458;253517;3677
1113644;253720;781
1114003;253824;1847
1114451;254274;2869
1115021;255051;2672
1115837;255771;2381
1115905;255807;3695
1115945;255819;2491
1115975;255824;3810
1116004;255860;4625
1116053;255871;1177
1116060;255947;5177
1116062;255952;2711
1116075;255965;976
1116080;256005;3924
1116115;256029;3069
1116150;256034;2099
1116153;256058;2267
1116159;256096;736
1116162;256105;4402
1116176;256153;5002
1116229;256199;1918
1116237;256202;4099
1116272;256205;4270
1116281;256220;1532
1116343;256221;1912
1116357;256232;882
1116375;256241;5136
1116392;256242;2210
1116413;256244;1346
1116417;256308;41
1116444;256330;547
1116518;256358;4189
1116599;256381;1006
1116608;256467;3078
1116655;256527;2928
1116715;256573;777
1116722;256588;2868
1116771;256606;4558
1116815;256695;3458
1116817;256847;777
1116837;256851;4347
1116842;256857;2704
1116850;256973;1715
1116863;257015;2020
1116867;257051;2025
1116873;257112;1042
1116887;257113;1729
1116960;257193;3093
1116966;257198;705
1117054;257213;199
1117061;257237;2571
1117119;257247;524
1117130;257250;1431
1117145;257255;2581
1117179;257283;2604
1117226;257294;256
1117293;257337;1232
1117303;257376;1666
1117365;257411;2009
1117384;257452;3688
1117392;257492;459
1117416;257514;1747
1117529;257536;3629
1117573;257537;4656
1117576;257550;3692
1117610;257598;236
1117651;257600;388
1117653;257625;3959
1117662;257649;3025
1117808;257731;523
1117882;257738;2753
1117890;257785;5050
1117954;257792;4033
1117956;257833;3185
1117961;257835;3593
1117977;257845;4510
1117981;257849;1960
1118070;257871;3948
1118101;257924;46
1118176;258079;4645
1118181;258117;355
1118231;258162;202
1118250;258177;3519
1118272;258182;2789
1118404;258231;1851
1118405;258303;2102
1118407;258326;992
1118439;258398;3680
1118458;258413;3667
1118469;258559;3410
1118529;258561;1051
1118570;258649;699
1118584;258672;4737
1118637;258690;3828
1118648;258699;3942
1118703;258724;4007
1118706;258735;717
1118728;258789;2044
1118735;258825;2113
1118737;258844;3044
1118750;258846;3500
1118800;258858;1385
1118905;258919;911
1118906;258998;2570
1118932;259035;5137
1118941;259047;5144
1118970;259051;2098
1119028;259071;4048
1119034;259091;2280
1119038;259098;1730
1119041;259105;3857
1119129;259172;551
1119198;259187;3755
1119228;259197;3819
1119234;259236;2754
1119255;259258;2327
1119276;259297;2301
1119283;259333;97
1119287;259364;4090
1119295;259376;1813
1119361;259443;4179
1119382;259463;3767
1119396;259531;2312
1119406;259578;4633
1119407;259651;3063
1119414;259686;1339
1119475;259693;3412
1119485;259694;3516
1119510;259719;3504
1119546;259783;2198
1119629;259786;3289
1119633;259800;63
1119656;259812;5102
1119721;259817;1387
1119734;259823;3223
1119802;259898;2219
1119804;259936;2732
1119820;259958;3699
1119840;259993;1991
1119855;260023;4526
1119906;260025;2055
1119923;260040;4651
1119985;260054;2367
1120143;260084;4230
1120188;260096;4339
1120204;260167;4766
1120227;260210;3154
1120233;260228;3670
1120258;260229;355
1120294;260342;4818
1120327;260390;3949
1120344;260406;596
1120366;260425;2168
1120449;260440;4473
1120491;260449;1084
1120529;260498;3871
1120560;260527;4230
1120636;260545;2814
1120706;260566;610
1120776;260580;1500
1120803;260598;4951
1120834;260601;4518
1120861;260609;4875
1120930;260629;967
1120949;260763;3122
1120967;260768;3149
1120984;260775;3241
1120997;260850;29
1121007;260859;2724
1121018;260870;4257
1121033;260876;1514
1121046;260912;1469
1121119;261003;481
1121135;261015;1679
1121148;261036;4293
1121160;261069;4218
1121167;261085;3546
1121189;261110;1612
1121239;261191;898
1121272;261248;324
1121341;261286;2098
1121387;261338;4915
1121505;261445;2238
1121533;261446;3280
1121554;261454;4882
1121569;261537;1582
1121648;261553;155
1121735;261556;3609
1121756;261612;1535
1121765;261677;628
1121766;261689;1174
1121921;261732;3108
1121938;261752;4608
1122057;261768;503
1122064;261784;5056
1122132;261785;605
1122167;261789;3298
1122230;261806;3879
1122264;261808;2131
1122277;261822;1739
1122310;261824;2481
1122331;261864;2512
1122363;261902;3033
1122368;261907;2184
1122392;261915;1088
1122393;261919;1467
1122398;261944;2232
1122426;261965;4335
1122463;261968;5136
1122486;261990;3175
1122506;262009;3999
1122529;262025;159
1122533;262077;4755
1122582;262127;3379
1122645;262134;4804
1122729;262181;131
1122737;262197;2889
1122795;262199;517
1122880;262220;1279
1122891;262285;1
1122896;262332;4686
1122961;262339;117
1123027;262400;2577
1123029;262404;2951
1123057;262407;2192
1123199;262420;901
1123257;262426;31
1123278;262446;4992
1123351;262463;992
1123365;262464;4024
1123410;262480;3060
1123452;262504;2941
1123473;262574;3698
1123632;262584;2038
1123654;262641;91
1123769;262643;2799
1123851;262684;4519
1123919;262692;1342
1123931;262711;4782
1124042;262713;2931
1124073;262735;1417
1124120;262770;2608
1124143;262862;3095
1124186;262866;1389
1124188;262894;2835
1124248;262900;3312
1124294;262907;2281
1124349;262946;4649
1124510;262994;3049
1124687;263025;3148
1124702;263112;1727
1124712;263118;3892
1124729;263125;2327
1124803;263129;5115
1124813;263141;5096
1124818;263155;2746
1124830;263195;4884
1124837;263199;1775
1124851;263206;73
1124936;263213;3735
1124941;263414;3680
1125041;263440;2094
1125051;263485;4908
1125079;263489;76
1125114;263497;4405
1125122;263536;4477
1125153;263605;4988
1125198;263630;1408
1125259;263666;2223
1125340;263701;91
1125371;263705;1287
1125393;263717;4080
1125405;263727;960
1125425;263738;4617
1125448;263744;4131
1125464;263763;411
1125533;263774;324
1125630;263782;3076
1125633;263807;665
1125652;263834;2284
1125699;263870;4005
1125749;263879;922
1125770;263928;1675
1125797;263947;4326
1125917;263991;5025
1125960;264031;748
1125964;264046;4764
1125996;264047;28
1126000;264050;3896
1126067;264056;767
1126124;264077;4515
1126205;264099;3598
1126263;264121;4113
1126282;264155;433
1126300;264218;3594
1126319;264315;372
1126321;264340;4431
1126334;264370;1929
1126342;264379;970
1126415;264415;435
1126445;264417;1682
1126475;264432;2959
1126524;264454;367
1126539;264471;2365
1126708;264501;3351
1126720;264509;1773
1126792;264523;4906
1126816;264531;709
1126893;264550;4221
1126896;264583;2904
1126973;264596;3667
1127034;264604;1942
1127066;264625;456
1127181;264628;3564
1127259;264680;144
1127346;264702;2028
1127354;264709;1140
1127453;264716;3161
1127500;264737;2205
1127506;264756;3783
1127510;264807;2705
1127520;264811;585
1127555;264821;3902
1127578;264825;3077
1127625;264830;150
1127642;264853;147
1127665;264972;1121
1127708;264980;4567
1127746;264986;455
1127786;265008;76
1127858;265021;4184
1127869;265055;683
1127875;265158;4285
1127877;265160;2233
1127937;265162;653
1127950;265174;3730
1127973;265202;3062
1128042;265311;2155
1128044;265328;2334
1128045;265358;4133
1128141;265379;4284
1128175;265386;1861
1128194;265437;4256
1128219;265445;4984
1128261;265454;452
1128329;265458;360
1128371;265480;1004
1128385;265512;3625
1128390;265577;1583
1128445;265578;978
1128507;265579;2614
1128521;265594;330
1128531;265624;3311
1128548;265655;3797
1128550;265658;968
1128622;265713;3406
1128695;265742;488
1128698;265752;4230
1128750;265866;4430
1128752;265920;2162
1128771;266009;4896
1128795;266012;4387
1128799;266028;342
1128820;266039;5138
1128862;266049;648
1128977;266058;4187
1128988;266066;4381
1129009;266089;3363
1129069;266102;946
1129095;266113;2654
1129102;266127;175
1129105;266136;5006
1129129;266139;1492
1129181;266159;1184
1129200;266206;1491
1129202;266232;1230
1129260;266490;749
1129295;266504;4739
1129322;266510;2060
1129371;266515;1061
1129394;266574;3663
1129439;266609;1069
1129448;266678;4810
1129556;266710;881
1129598;266733;1440
1129659;266760;379
1129702;266815;1836
1129718;266818;4605
1129733;266937;658
1129780;266941;4831
1129880;266968;1296
1129909;267011;2779
1129930;267012;3015
1129935;267029;2020
1129956;267101;3182
1130006;267126;2423
1130029;267147;195
1130230;267160;2048
1130232;267176;416
1130345;267177;1571
1130467;267197;4953
1130473;267210;1833
1130487;267238;739
1130642;267257;3615
1130674;267289;4323
1130686;267294;2937
1130696;267309;5146
1130703;267323;2353
1130719;267328;3640
1130753;267345;4313
1130766;267374;2674
1130776;267390;2160
1130798;267400;3003
1130879;267408;2820
1130943;267481;1370
1131134;267554;5020
1131190;267600;2096
1131202;267620;4282
1131237;267635;946
1131280;267688;4811
1131290;267696;898
1131302;267697;1441
1131407;267727;3173
1131472;267756;1286
1131487;267765;3577
1131522;267784;4419
1131537;267788;3261
1131588;267838;3161
1131610;267872;1733
1131630;267891;4411
1131643;267893;2636
1131715;267922;4105
1131770;267949;2406
1131815;267978;4788
1131821;268006;1407
1131830;268066;643
1131872;268164;3345
1131925;268284;1989
1131960;268287;303
1131988;268291;1294
1131997;268354;1446
1132021;268359;599
1132047;268384;139
1132110;268572;4301
1132133;268578;141
1132224;268597;2580
1132240;268687;1533
1132298;268699;1510
1132399;268724;3355
1132405;268743;452
1132437;268790;944
1132471;268803;3023
1132487;268805;1840
1132491;268847;3485
1132501;268870;447
1132504;268888;3474
1132532;268907;3954
1132564;268912;3276
1132583;268949;4416
1132623;268992;4301
1132681;269017;1291
1132696;269019;501
1132701;269062;2187
1132722;269076;3659
1132727;269086;877
1132751;269117;3780
1132752;269122;4037
1132767;269150;1310
1132819;269170;1652
1132889;269255;3255
1132924;269310;2963
1132925;269330;4971
1133004;269331;846
1133038;269339;123
1133041;269393;2836
1133074;269394;1712
1133112;269579;1367
1133162;269600;1319
1133219;269650;1496
1133255;269671;1325
1133256;269673;4494
1133278;269683;890
1133299;269706;2169
1133316;269760;1769
1133344;269787;365
1133364;269858;4021
1133433;269859;4493
1133481;269915;2766
1133500;269936;838
1133502;270004;2576
1133560;270030;2411
1133576;270032;4087
1133578;270042;4361
1133681;270155;2722
